speaker_id,first_name,last_name,years_experience,company_type,company,job_title,expertise_primary,expertise_secondary,programming_languages,cloud_services,mvp_status,region,country,twitter_followers,linkedin_connections,github_repositories,speaking_experience_years,previous_conferences,session_title,session_track,session_type,session_level,session_duration_minutes,expected_audience_size,session_rating_prediction,community_contributions,open_source_projects,certifications_count,speaker_fee_tier
SPKR-0001,João,Rodriguez,3,Startup,AgileWorks,DevOps Engineer,AI/Machine Learning,Quantum Computing,"Scala, C#, R","Azure Storage, Azure Compute, Azure DevOps",False,Asia Pacific,Singapore,608,50,8,1,1,Machine Learning at Scale with Azure ML,Data & AI,Theater Session,Beginner,45,118,4.5,8,4,1,Low
SPKR-0002,Carlos,Tanaka,2,ISV,Adobe,DevOps Engineer,Sustainability Tech,Blockchain,"R, JavaScript","Azure IoT, Dynamics 365, Azure Security, Azure Networking, Microsoft 365, Azure Storage",False,North America,Mexico,130,604,3,0,0,Sustainable Software Development: Advanced Techniques,Microsoft Cloud,Theater Session,Intermediate,30,81,3.9,6,3,4,None
SPKR-0003,James,Thompson,5,Microsoft,Microsoft Corporation,Senior Data Scientist,Modern Apps,Power Platform,"TypeScript, C#","Microsoft 365, Azure IoT, Azure Security, Azure AI",False,Europe,Sweden,663,1730,10,3,13,Microservices Architecture Patterns,App Innovation,Workshop,Intermediate,90,38,4.9,3,7,5,Low
SPKR-0004,Amanda,Fischer,1,Consulting Firm,McKinsey & Company,DevOps Engineer,Mixed Reality,AI/Machine Learning,"C++, C#, Unity Script","Dynamics 365, Azure Data, Azure Networking",False,Asia Pacific,Singapore,316,227,4,0,0,AR/VR Development with Unity,App Innovation,Lightning Talk,Beginner,20,60,3.1,2,2,5,None
SPKR-0005,Brian,Chen,2,Consulting Firm,McKinsey & Company,Software Engineer,Security & Compliance,Microsoft 365,"JavaScript, PowerShell, Python","Dynamics 365, Azure Compute, Azure AI, Azure Mixed Reality, Azure Data, Azure IoT",False,Asia Pacific,Australia,148,401,8,1,1,Compliance Automation in the Cloud,Security,Theater Session,Beginner,30,103,4.5,2,3,1,None
SPKR-0006,João,Lopez,7,Microsoft Partner,Deloitte,Solutions Architect,Sustainability Tech,DevOps & Automation,"JavaScript, Python, R","Azure Compute, Azure Storage, Azure Data, Azure Security, Power Platform, Dynamics 365",False,Asia Pacific,South Korea,59,193,7,6,50,Sustainable Software Development,Infrastructure,Theater Session,Intermediate,45,53,5.0,9,0,2,Low
SPKR-0007,Kevin,Thomas,4,Non-Profit,Red Cross,Product Manager,Microsoft 365,Modern Apps,"JavaScript, C#, TypeScript, PowerShell","Azure Compute, Dynamics 365, Azure IoT",False,North America,United States,77,181,7,3,15,Microsoft Graph Integration: A Case Study,Digital & App Innovation,Lightning Talk,Intermediate,20,36,3.8,6,4,4,None
SPKR-0008,Jason,Wilson,4,Microsoft Partner,Accenture,Principal Engineer,Edge Computing,Microsoft 365,"C++, JavaScript","Azure IoT, Dynamics 365, Azure Mixed Reality, Azure Networking",False,Europe,Sweden,98,406,1,0,0,Edge Security and Management,Infrastructure,Breakout Session,Intermediate,45,131,3.0,2,3,0,None
SPKR-0009,Daniel,Wilson,2,Microsoft Partner,PwC,Data Analyst,Mixed Reality,IoT Solutions,"Unity Script, C#, C++, JavaScript","Dynamics 365, Azure Storage, Microsoft 365, Azure IoT",False,Asia Pacific,China,62,1014,15,0,0,AR/VR Development with Unity: Advanced Techniques,App Innovation,Theater Session,Intermediate,30,146,3.7,8,4,7,Low
SPKR-0010,Daniel,Park,3,Consulting Firm,Boston Consulting Group,Data Analyst,Quantum Computing,Power Platform,"Python, C#","Azure IoT, Azure DevOps",False,North America,Canada,638,598,16,0,0,Quantum Algorithms with Q#,App Innovation,Breakout Session,Beginner,45,105,4.1,10,2,4,None
